dataset	kc_size	projection_size	trial	top	wta	mean	std
wos11967	4816	7	0	64	10	0.537060041407867	0
wos11967	4596	9	0	14	17	0.61407867494824	0
wos11967	4580	7	0	20	9	0.633126293995859	0
wos11967	4585	7	0	20	17	0.624430641821946	0
wos11967	4688	9	0	73	9	0.488612836438923	0
wos11967	4712	6	0	84	16	0.511801242236025	0
wos11967	4707	4	0	90	12	0.662939958592133	0
wos11967	4786	7	0	72	12	0.628571428571429	0
wos11967	4703	4	1	61	16	0.670393374741201	0
wos11967	4793	7	0	72	5	0.57639751552795	0
wos11967	4607	4	0	13	8	0.670393374741201	0
wos11967	4785	4	1	29	8	0.669565217391304	0
wos11967	4802	5	1	77	11	0.653002070393375	0
wos11967	4579	8	0	28	9	0.608281573498965	0
wos11967	4714	7	0	72	19	0.546169772256729	0
wos11967	4710	4	0	92	6	0.649275362318841	0
wos11967	4791	4	1	24	10	0.677432712215321	0
wos11967	4026	5	1	91	8	0.653830227743271	0
wos11967	4961	6	0	89	19	0.638509316770186	0
wos11967	4601	4	1	11	8	0.660869565217391	0
wos11967	4686	5	0	64	10	0.651345755693582	0
wos11967	4681	7	0	47	12	0.613250517598344	0
wos11967	4701	4	0	57	11	0.665424430641822	0
wos11967	4794	7	0	81	9	0.634368530020704	0
wos11967	4721	4	0	65	20	0.667080745341615	0
wos11967	4702	4	0	76	18	0.660869565217391	0
wos11967	4610	4	0	22	11	0.674534161490683	0
wos11967	4011	6	0	29	5	0.636438923395445	0
wos11967	4614	4	0	17	8	0.66832298136646	0
wos11967	4692	4	0	83	11	0.64472049689441	0
wos11967	4796	5	1	60	6	0.628571428571429	0
wos11967	4728	4	0	65	15	0.662525879917184	0
wos11967	4830	4	0	61	17	0.65424430641822	0
wos11967	4559	4	0	20	19	0.64472049689441	0
